Index,Title,Published_date,Views,Likes,Comments,Timestamp
0,State of Data Science - Web Data,2022-08-05,7091,298,27,1660748383000
1,Data Science Town Hall - State of Data Science,2022-08-04,8230,346,38,1660748383000
2,How I Would Learn to Code (If I Had to Start Over) | Data Track,2022-07-29,6497,412,48,1660748383000
3,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,22356,1241,84,1660748383000
4,Can Machine Learning Fix My Baseball Swing?,2022-06-10,6220,306,68,1660748383000
5,Every Data Scientist... (funny!),2022-05-24,11713,698,141,1660748383000
6,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,15496,426,65,1660748383000
7,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,32009,964,81,1660748383000
8,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,14166,634,97,1660748383000
9,Can Data Defeat This Deceitful OpenSea NFT Scam?,2022-03-03,4346,183,51,1660748383000
10,When a PM Joins the Data Team... (funny!) - Ft @Luke Barousse,2022-02-21,9182,436,141,1660748383000
11,What Professional Data Scientists ACTUALLY Do,2022-02-14,76233,2653,174,1660748383000
12,Can You Analyze My Data Better Than I Can?,2022-01-31,5997,300,62,1660748383000
13,Giving Back to My Most Engaged Subscribers!,2022-01-28,2175,117,89,1660748383000
14,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,10566,527,65,1660748383000
15,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,7923,408,83,1660748383000
16,Should  @Luke Barousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,6187,175,32,1660748383000
17,The Only Data Science Explanation You Need,2022-01-10,25527,1454,160,1660748383000
18,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,13551,630,150,1660748383000
19,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,260735,11901,465,1660748383000
20,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,7276,310,56,1660748383000
